2020-01-05 08:45:20,940,940,evaluate data pipeline  INFO Indexed chosen news data processed {'_index': 'talent-cleaned', '_type': '_doc', '_id': '3e98977413c3d53eb0e6a47c99a75cb1', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 48, '_primary_term': 1}
2020-01-05 08:45:21,153,153,evaluate data pipeline  INFO Indexed chosen news data processed {'_index': 'talent-cleaned', '_type': '_doc', '_id': '9b5799a0040c932fbd7090997a3f71e6', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 49, '_primary_term': 1}
2020-01-05 08:45:21,311,311,evaluate data pipeline  INFO Indexed chosen news data processed {'_index': 'talent-cleaned', '_type': '_doc', '_id': '25ad6cefcae799f91f30cc6869699d47', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 50, '_primary_term': 1}
2020-01-05 08:45:21,542,542,evaluate data pipeline  INFO Indexed chosen news data processed {'_index': 'talent-cleaned', '_type': '_doc', '_id': 'dac93196ee5eaec2c997695ea0098b03', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 51, '_primary_term': 1}
2020-01-05 08:45:21,798,798,evaluate data pipeline  INFO Indexed chosen news data processed {'_index': 'talent-cleaned', '_type': '_doc', '_id': '139a6431b7e422f6d38566c8b013a41d', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 52, '_primary_term': 1}
2020-01-05 08:45:21,987,987,evaluate data pipeline  INFO Indexed chosen news data processed {'_index': 'talent-cleaned', '_type': '_doc', '_id': 'bf87739e548a8e3ea80f7be72ca4e005', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 53, '_primary_term': 1}
2020-01-05 08:45:22,160,160,evaluate data pipeline  INFO Indexed chosen news data processed {'_index': 'talent-cleaned', '_type': '_doc', '_id': 'cc476e0e231e6c351e4694be5a5592ac', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 54, '_primary_term': 1}
2020-01-05 08:45:22,407,407,evaluate data pipeline  INFO Indexed chosen news data processed {'_index': 'talent-cleaned', '_type': '_doc', '_id': '6ef58db24b6c1c11dfba37ee0e93ac87', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 55, '_primary_term': 1}
2020-01-05 08:45:22,622,622,evaluate data pipeline  INFO Indexed chosen news data processed {'_index': 'talent-cleaned', '_type': '_doc', '_id': 'd1ddd89496d7315d1eb37787d2ea6d1b', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 56, '_primary_term': 1}
2020-01-05 08:45:23,068,68,evaluate data pipeline  INFO Indexed chosen news data processed {'_index': 'talent-cleaned', '_type': '_doc', '_id': '0f6d525e1fae81b0e456685967205740', '_version': 1, 'result': 'created', '_shards': {'total': 2, 'successful': 1, 'failed': 0}, '_seq_no': 57, '_primary_term': 1}
